cell_type_ontology_term_id,cell_type,count
CL:0002319,neural cell,1502733
CL:0000222,mesodermal cell,1463106
CL:0000679,glutamatergic neuron,1122740
CL:0000038,erythroid progenitor cell,1033409
CL:0000540,neuron,885024
CL:0011010,lateral mesodermal cell,745494
CL:0000057,fibroblast,729131
CL:0010011,cerebral cortex GABAergic interneuron,603448
CL:0000617,GABAergic neuron,513186
CL:0001031,cerebellar granule cell,501037
CL:4023048,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,347109
CL:0000138,chondrocyte,300649
CL:0000182,hepatocyte,300361
CL:0000127,astrocyte,228718
CL:0000115,endothelial cell,201189
CL:4023040,L2/3-6 intratelencephalic projecting glutamatergic neuron,198449
CL:0000312,keratinocyte,189185
CL:0000056,myoblast,189151
CL:4023042,L6 corticothalamic-projecting glutamatergic cortical neuron,176719
CL:0000128,oligodendrocyte,142462
CL:0011020,neural progenitor cell,140073
CL:0008019,mesenchymal cell,139567
CL:0000062,osteoblast,136059
CL:0000066,epithelial cell,132603
CL:0000235,macrophage,121054
CL:0000236,B cell,115934
CL:0002453,oligodendrocyte precursor cell,112510
CL:0002672,retinal progenitor cell,110254
CL:0002361,primitive erythroid progenitor,108613
CL:0002076,endo-epithelial cell,105092
CL:0000084,T cell,104855
CL:0002306,epithelial cell of proximal tubule,94295
CL:0000740,retinal ganglion cell,92747
CL:0002555,fibroblast of mammary gland,90065
CL:0000129,microglial cell,86747
CL:4023050,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,83902
CL:0000695,Cajal-Retzius cell,82118
CL:4023068,thalamic excitatory neuron,81788
CL:0000449,brown adipocyte,80279
CL:0002375,Schwann cell precursor,71412
CL:0000878,central nervous system macrophage,71139
CL:0002543,vein endothelial cell,68827
CL:0000169,type B pancreatic cell,68702
CL:2000030,hypothalamus cell,67989
CL:0000037,hematopoietic stem cell,67502
CL:0002608,hippocampal neuron,63766
CL:0000576,monocyte,61653
CL:0000121,Purkinje cell,61642
CL:4023017,sst GABAergic cortical interneuron,61058
CL:4030059,L2/3 intratelencephalic projecting glutamatergic neuron,55831
CL:4023016,VIP GABAergic cortical interneuron,55571
CL:0000136,adipocyte,54886
CL:4023011,lamp5 GABAergic cortical interneuron,52830
CL:2000032,peripheral nervous system neuron,51569
CL:0002334,preadipocyte,51227
CL:1001451,sensory neuron of dorsal root ganglion,48012
CL:4023018,pvalb GABAergic cortical interneuron,47109
CL:1000413,endothelial cell of artery,46407
CL:0000218,myelinating Schwann cell,46264
CL:0000186,myofibroblast cell,44012
CL:4030062,L4/5 intratelencephalic projecting glutamatergic neuron,43558
CL:0002372,myotube,43267
CL:0000751,rod bipolar cell,42723
CL:0002144,capillary endothelial cell,42423
CL:0002620,skin fibroblast,42301
CL:0002167,olfactory epithelial cell,41300
CL:4023041,L5 extratelencephalic projecting glutamatergic cortical neuron,40816
CL:0000775,neutrophil,40441
CL:0000889,myeloid suppressor cell,40123
CL:0000207,olfactory receptor cell,40019
CL:0000498,inhibitory interneuron,38715
CL:4023043,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,38609
CL:4023038,L6b glutamatergic cortical neuron,37962
CL:0002324,basal-myoepithelial cell of mammary gland,37196
CL:0000604,retinal rod cell,36825
CL:0000091,Kupffer cell,36502
CL:0002215,type IIb muscle cell,36330
CL:0000134,mesenchymal stem cell,33070
CL:0000030,glioblast,32231
CL:4030064,L5 intratelencephalic projecting glutamatergic neuron,32230
CL:0002138,endothelial cell of lymphatic vessel,32229
CL:0017001,splanchnic mesodermal cell,32184
CL:1000398,endothelial cell of hepatic sinusoid,32094
CL:0000680,muscle precursor cell,32034
CL:0011001,spinal cord motor neuron,31398
CL:0000669,pericyte,31129
CL:0000809,"double-positive, alpha-beta thymocyte",30450
CL:0000094,granulocyte,29800
CL:4030027,GABAergic amacrine cell,29667
CL:0002491,auditory epithelial cell,29337
CL:0000499,stromal cell,29033
CL:1001016,kidney loop of Henle ascending limb epithelial cell,27385
CL:0000324,metanephric mesenchyme stem cell,26565
CL:0002063,pulmonary alveolar type 2 cell,25911
CL:0000126,macroglial cell,25784
CL:0000097,mast cell,25659
CL:4030009,epithelial cell of proximal tubule segment 1,25421
CL:1000849,kidney distal convoluted tubule epithelial cell,25086
CL:0000125,glial cell,24129
CL:0015000,cranial motor neuron,23754
CL:4023013,corticothalamic-projecting glutamatergic cortical neuron,23644
CL:0000065,ependymal cell,23633
CL:4033058,luminal hormone-sensing cell of mammary gland,23621
CL:0002340,luminal cell of prostate epithelium,23236
CL:0000501,granulosa cell,22610
CL:0000598,pyramidal neuron,22450
CL:0000077,mesothelial cell,22380
CL:1000123,metanephric nephron tubule epithelial cell,21669
CL:0002548,fibroblast of cardiac tissue,20844
CL:0002350,endocardial cell,20595
CL:0002188,glomerular endothelial cell,20585
CL:0000758,type 6 cone bipolar cell (sensu Mus),20289
CL:0002518,kidney epithelial cell,19913
CL:0002335,brown preadipocyte,19823
CL:0000561,amacrine cell,19710
CL:0000171,pancreatic A cell,19156
CL:0004215,type 5a cone bipolar cell,18843
CL:0000099,interneuron,18577
CL:0011103,sympathetic neuron,18369
CL:4030011,epithelial cell of proximal tubule segment 3,18192
CL:0002062,pulmonary alveolar type 1 cell,18064
CL:4023169,trigeminal neuron,17788
CL:0000644,Bergmann glial cell,17733
CL:1001431,kidney collecting duct principal cell,17013
CL:0002551,fibroblast of dermis,16806
CL:0002603,astrocyte of the cerebellum,16717
CL:4023015,sncg GABAergic cortical interneuron,16629
CL:0000625,"CD8-positive, alpha-beta T cell",16063
CL:4030010,epithelial cell of proximal tubule segment 2,15905
CL:0000759,type 7 cone bipolar cell (sensu Mus),15854
CL:0002187,basal cell of epidermis,15645
CL:0000623,natural killer cell,15635
CL:0000556,megakaryocyte,15196
CL:1001602,cerebral cortex endothelial cell,15179
CL:0000031,neuroblast (sensu Vertebrata),14320
CL:0002341,basal cell of prostate epithelium,14213
CL:4023047,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,13955
CL:0011011,intermediate mesodermal cell,13172
CL:0000515,skeletal muscle myoblast,12984
CL:0002131,regular ventricular cardiac myocyte,12480
CL:0000757,type 5 cone bipolar cell (sensu Mus),12059
CL:0000646,basal cell,12045
CL:0000071,blood vessel endothelial cell,11597
CL:0002536,epithelial cell of amnion,11509
CL:0004214,type 3b cone bipolar cell,11417
CL:0000990,conventional dendritic cell,10860
CL:0000815,regulatory T cell,10595
CL:0000573,retinal cone cell,10593
CL:0009099,fibro/adipogenic progenitor cell,10455
CL:0002325,lactocyte,10321
CL:1000768,kidney connecting tubule epithelial cell,10185
CL:1001474,medium spiny neuron,9950
CL:4033057,luminal adaptive secretory precursor cell of mammary gland,9934
CL:4030028,glycinergic amacrine cell,9869
CL:0002085,tanycyte,9737
CL:4030067,L5/6 near-projecting glutamatergic neuron,9728
CL:0002546,embryonic blood vessel endothelial progenitor cell,9693
CL:0002327,mammary gland epithelial cell,9604
CL:0004216,type 5b cone bipolar cell,9576
CL:0000706,choroid plexus epithelial cell,9441
CL:0000173,pancreatic D cell,9276
CL:1001430,urethra urothelial cell,8802
CL:2000008,microvascular endothelial cell,8768
CL:0002320,connective tissue cell,8646
CL:0000860,classical monocyte,8537
