original_cl_id,original_cl_name,high_level_cl_id,high_level_cl_name,selection_rationale
CL:0000242,Merkel cell,CL:0000066,epithelial cell,Selected the epithelial branch for this specialized skin cell
CL:0002324,basal-myoepithelial cell of mammary gland,CL:0000066,epithelial cell,Selected the epithelial branch for this mammary myoepithelial cell
CL:2000043,brain pericyte,CL:0002320,connective tissue cell,Selected the connective tissue branch for this perivascular stromal cell
CL:0000878,central nervous system macrophage,CL:0002319,neural cell,Selected the neural branch because this is a CNS-resident macrophage
CL:1001602,cerebral cortex endothelial cell,CL:0000115,endothelial cell,Selected the endothelial identity rather than the organ-system branch
CL:0000706,choroid plexus epithelial cell,CL:0000066,epithelial cell,Selected the epithelial identity rather than the neural-system branch
CL:0000065,ependymal cell,CL:0002319,neural cell,Selected the neural branch for this specialized ventricular cell
CL:0002549,fibroblast of choroid plexus,CL:0002320,connective tissue cell,Selected the fibroblast connective tissue identity
CL:4023181,hypendymal cell,CL:0002319,neural cell,Selected the neural branch for this specialized ventricular cell
CL:0000708,leptomeningeal cell,CL:0002320,connective tissue cell,Selected the meningeal connective tissue identity
CL:4033043,lung interstitial macrophage,CL:0000988,hematopoietic cell,Selected the macrophage hematopoietic identity
CL:4033018,lung megakaryocyte,CL:0000988,hematopoietic cell,Selected the megakaryocyte hematopoietic identity
CL:0009089,lung pericyte,CL:0002320,connective tissue cell,Selected the pericyte connective tissue identity
CL:0002629,mature microglial cell,CL:0002319,neural cell,Selected the neural branch because microglia are specialized CNS-resident macrophages
CL:0000879,meningeal macrophage,CL:0002319,neural cell,Selected the neural branch because this is a CNS-associated macrophage
CL:1000298,mesothelial cell of dura mater,CL:0000066,epithelial cell,Selected the mesothelial epithelial identity
CL:0000129,microglial cell,CL:0002319,neural cell,Selected the neural branch because microglia are specialized CNS-resident macrophages
CL:0000185,myoepithelial cell,CL:0000066,epithelial cell,Selected the epithelial identity rather than the contractile property
