hector_label	author_class	n_hector_cells	basis
B cell	B cell	105	identity
B cell, CD19-positive	B cell	32	is-a B cell
B-1 B cell	B cell	161	is-a B cell
B-1b B cell	B cell	1	is-a B cell
B-2 B cell	B cell	195	is-a B cell
Bm1 B cell	B cell	5	is-a B cell
Bm2 B cell	B cell	7	is-a B cell
CD115-positive monocyte	Monocyte	1	a CSF1R-positive monocyte; CL also files it under a progenitor branch, which is what created the tie with HSC/progenitor  [confirms ontology: proposal was Monocyte]
CD14-low, CD16-positive monocyte	Monocyte	55	is-a Monocyte
CD14-positive monocyte	Monocyte	202	is-a Monocyte
CD14-positive, CD16-low monocyte	Monocyte	30	is-a Monocyte
CD14-positive, CD16-negative classical monocyte	Monocyte	1560	is-a Monocyte
CD14-positive, CD16-positive monocyte	Monocyte	399	is-a Monocyte
CD141-positive myeloid dendritic cell	Dendritic cell	26	is-a Dendritic cell
CD16-negative, CD56-bright natural killer cell, human	NK cell	771	is-a NK cell
CD16-positive myeloid dendritic cell	Dendritic cell	1	is-a Dendritic cell
CD16-positive, CD56-dim natural killer cell, human	NK cell	1118	is-a NK cell
CD1c-positive myeloid dendritic cell	Dendritic cell	77	is-a Dendritic cell
CD34-negative, CD117-positive innate lymphoid cell, human	Others	1	see `group 3 innate lymphoid cell`  [confirms ontology: proposal was Others]
CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	HSC/progenitor	1	is-a HSC/progenitor
CD38-positive unswitched memory B cell	B cell	1	is-a B cell
CD4-positive helper T cell	T cell	94	is-a T cell
CD4-positive, CD25-positive, alpha-beta regulatory T cell	T cell	644	is-a T cell
CD4-positive, alpha-beta T cell	T cell	593	is-a T cell
CD4-positive, alpha-beta cytotoxic T cell	T cell	1000	is-a T cell
CD4-positive, alpha-beta memory T cell	T cell	2759	is-a T cell
CD4-positive, alpha-beta memory T cell, CD45RO-positive	T cell	5190	is-a T cell
CD4-positive, alpha-beta thymocyte	T cell	15	is-a T cell
CD8-alpha alpha positive, gamma-delta intraepithelial T cell	T cell	1	is-a T cell
CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	T cell	8	is-a T cell
CD8-alpha-positive CD11b-negative dendritic cell	Dendritic cell	3	is-a Dendritic cell
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	T cell	1	is-a T cell
CD8-positive, alpha-beta T cell	T cell	5851	is-a T cell
CD8-positive, alpha-beta cytokine secreting effector T cell	T cell	1	is-a T cell
CD8-positive, alpha-beta cytotoxic T cell	T cell	1125	is-a T cell
CD8-positive, alpha-beta memory T cell	T cell	2576	is-a T cell
CD8-positive, alpha-beta memory T cell, CD45RO-positive	T cell	1388	is-a T cell
CD8-positive, alpha-beta regulatory T cell	T cell	162	is-a T cell
CD8-positive, alpha-beta thymocyte	T cell	14	is-a T cell
CD8aa(I) thymocyte	T cell	9	is-a T cell
Cajal-Retzius cell	Others	2	outside every group
Gr1-high classical monocyte	Monocyte	7	a classical monocyte; same progenitor-branch filing as `CD115-positive monocyte`  [confirms ontology: proposal was Monocyte]
Hofbauer cell	Macrophage	10553	is-a Macrophage
IgA plasma cell	B cell	387	an isotype-switched plasma cell; see `plasma cell`  [OVERRIDES ontology: proposal was Others]
IgD-negative memory B cell	B cell	2	is-a B cell
IgG plasma cell	B cell	1936	an isotype-switched plasma cell; see `plasma cell`  [OVERRIDES ontology: proposal was Others]
IgM plasma cell	B cell	56	an isotype-switched plasma cell; see `plasma cell`  [OVERRIDES ontology: proposal was Others]
Kit-low proerythroblast	Others	1	outside every group
Kupffer cell	Macrophage	1793	is-a Macrophage
L4 intratelencephalic projecting glutamatergic neuron	Others	4	outside every group
L6 intratelencephalic projecting glutamatergic neuron	Others	1	outside every group
Langerhans cell	Dendritic cell	171	is-a Dendritic cell
Leydig cell	Others	7	an interstitial steroidogenic cell; not a fibroblast, a mural cell or an epithelial cell  [confirms ontology: proposal was Others]
M cell of gut	Epithelial	6	is-a Epithelial
OFF parasol ganglion cell	Others	1	outside every group
Schwann cell	Others	8	see `glial cell`  [confirms ontology: proposal was Others]
