library,donor_id,week,region,role,filename,url
Multiome_10w_FR,Donor_1,11,macula lutea,validation,GSE268630_Multiome_10w_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_10w_FR_filtered_feature_bc_matrix.h5
Multiome_10w_NR,Donor_1,11,peripheral region of retina,validation,GSE268630_Multiome_10w_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_10w_NR_filtered_feature_bc_matrix.h5
Multi_Fetal_11w2d_FR,Donor_2,12,macula lutea,validation,GSE268630_Multi_Fetal_11w2d_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_11w2d_FR_filtered_feature_bc_matrix.h5
Multi_Fetal_11w2d_FR_2,Donor_2,12,macula lutea,validation,GSE268630_Multi_Fetal_11w2d_FR_2_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_11w2d_FR_2_filtered_feature_bc_matrix.h5
Multi_Fetal_11w2d_NR,Donor_2,12,peripheral region of retina,validation,GSE268630_Multi_Fetal_11w2d_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_11w2d_NR_filtered_feature_bc_matrix.h5
Multiome_12w3d_FR,Donor_3,13,macula lutea,validation,GSE268630_Multiome_12w3d_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_12w3d_FR_filtered_feature_bc_matrix.h5
Multiome_12w3d_NR,Donor_3,13,peripheral region of retina,validation,GSE268630_Multiome_12w3d_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_12w3d_NR_filtered_feature_bc_matrix.h5
Multi_Fetal_13W_FR,Donor_4,14,macula lutea,discovery,GSE268630_Multi_Fetal_13W_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_13W_FR_filtered_feature_bc_matrix.h5
Multi_Fetal_13W_NR,Donor_4,14,peripheral region of retina,discovery,GSE268630_Multi_Fetal_13W_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_13W_NR_filtered_feature_bc_matrix.h5
Multiome_14w2d_FR,Donor_5,15,macula lutea,validation,GSE268630_Multiome_14w2d_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_14w2d_FR_filtered_feature_bc_matrix.h5
Multiome_14w2d_NR,Donor_5,15,peripheral region of retina,validation,GSE268630_Multiome_14w2d_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_14w2d_NR_filtered_feature_bc_matrix.h5
Multi_Fetal_14w5d_FR,Donor_6,15,macula lutea,validation,GSE268630_Multi_Fetal_14w5d_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_14w5d_FR_filtered_feature_bc_matrix.h5
Multi_Fetal_14w5d_NR,Donor_6,15,peripheral region of retina,validation,GSE268630_Multi_Fetal_14w5d_NR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multi_Fetal_14w5d_NR_filtered_feature_bc_matrix.h5
Multiome_16w4d_FR,Donor_7,17,macula lutea,validation,GSE268630_Multiome_16w4d_FR_filtered_feature_bc_matrix.h5,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268630/suppl/GSE268630_Multiome_16w4d_FR_filtered_feature_bc_matrix.h5
