figure,relative_path,shipped_here,size_bytes,sha256,role,source
figure1,input/training_ontology_projection/cl.obo,yes,15978994,4aecf82eb4009456c1a3c3bb08cd8c2bd8d691cb01e7a52873ca9cbf5ed0739f,Cell Ontology; identical to figure 2's copy,Cell Ontology release 2025-07-30 https://github.com/obophenotype/cell-ontology
figure1,input/training_ontology_projection/human_cell_counts.csv,yes,35901,08ad2fec3fbaa894ed5a381080aae3e384544932353f25cab06aad4e91b3ed1e,cells per human Cell Ontology term in the HECTOR training set,produced by the authors
figure1,input/training_ontology_projection/mouse_cell_counts.csv,yes,19902,c8a0bdbc310385457113b3e5f258e692edc105ae43a92457c283cc329aa25d4f,cells per mouse Cell Ontology term in the HECTOR training set,produced by the authors
figure1,input/training_ontology_projection/reviewed_assignments.csv,yes,9190,e81b69ef4c3f2ac90b2ac16eec4e7833d7f65c1ff3fd8ebadbfb8354ec2c1bba,hand-reviewed assignment of terms to broad groups,produced by the authors
figure1,input/validation_ontology_projection/human_class_scores.csv,yes,63746,8be6b8890e9b94e9e6a4b20f82ef740de81e39c46a0662bc66ea4411de2d81a3,per-class accuracy precision and F1 for human,produced by the authors
figure1,input/validation_ontology_projection/mouse_class_scores.csv,yes,33234,31c2f09a2a7dd98f7886040ae282953670ffb095e522906bddf12a07276d0e9e,per-class accuracy precision and F1 for mouse,produced by the authors
figure2,input/cl.obo,yes,15978994,4aecf82eb4009456c1a3c3bb08cd8c2bd8d691cb01e7a52873ca9cbf5ed0739f,Cell Ontology,Cell Ontology release 2025-07-30 https://github.com/obophenotype/cell-ontology
figure2,input/harmonization/human_kidney_normal_cells.csv,yes,27561,aaa78975b2200a82136c69fdee15fa7f51b8272926f1fae480b4179f9b3641e4,hand-curated label harmonization table,produced by the authors
figure2,input/harmonization/Human_BAL.csv,yes,21008,8af99239fe7ac31439df13742880d803ecea299cc20bfc5ee498cc48f959a595,hand-curated label harmonization table,produced by the authors
figure2,input/harmonization/HumanSkin_normal_cells.csv,yes,15216,62836cd09fd67882f79c73acc59d5432e6f1c292a807718965069b62433ca79e,hand-curated label harmonization table,produced by the authors
figure2,input/harmonization/mouse_kidney_normal_cells.csv,yes,25935,1b8bacd74d7255a4c9b0771612f2f69c16050e78ff66ff5b8e6e9a456aadf3d5,hand-curated label harmonization table,produced by the authors
figure2,input/harmonization/mouse_VSMC.csv,yes,12954,6fd1338ff400a5cfad8a71e3a8e369195404eabeef5d181c12895252307f5d17,hand-curated label harmonization table,produced by the authors
figure2,input/harmonization/mouse_hippocampus.csv,yes,18595,acb6fe478439fd8d05f5d2883ab38a74d39861022dee6a41d585bf3a8f9b89d7,hand-curated label harmonization table,produced by the authors
figure2,input/datasets/human_kidney_normal_cells.h5ad,no,2751716812,d11945d317d6472d9992a0f889a26d4a52375d01360d9319478fe8ac9c12dec4,human kidney query dataset,https://cellxgene.cziscience.com/collections/9c9d04c4-8899-417f-bb6f-6107dcadf14f (file https://datasets.cellxgene.cziscience.com/9beaa89c-608a-4ef7-a816-2e6d42b1a0c2.h5ad)
figure2,input/datasets/mouse_kidney_normal_cells.h5ad,no,804577125,caffa144de86ab1e5e177a55ffc345aabc4c2714bd654f90c2a4d55efdfc446a,mouse kidney query dataset,https://cellxgene.cziscience.com/collections/9c9d04c4-8899-417f-bb6f-6107dcadf14f (file https://datasets.cellxgene.cziscience.com/1da2eb55-ae34-420a-a204-5e1657a4535d.h5ad)
figure2,input/datasets/Human_BAL.h5ad,no,2360178117,a51c8f388979f38ee0c2438117412d60ebd49cd0d056ce7885c433790beba3ef,human bronchoalveolar lavage query dataset,https://cellxgene.cziscience.com/collections/30704a65-1b50-409b-9cf6-1f26bf644c99
figure2,input/datasets/HumanSkin_normal_cells.h5ad,no,259758180,1d29a848c8642528511b1c802ee197fd25dc19360eae552897f84c32ff3a73cf,human skin query dataset,https://cellxgene.cziscience.com/collections/b1fd6a09-eb76-44ca-822d-68318548094c (file https://datasets.cellxgene.cziscience.com/5b293ff5-baa6-465e-b03b-043d9b892850.h5ad)
figure2,input/datasets/mouse_VSMC.h5ad,no,2372321215,7b2df420e0ac485743697bba2d9f3e1b666fa6541edb50d31526934a177fc3ee,mouse aorta query dataset,https://cellxgene.cziscience.com/collections/7a3044e4-6b16-4693-9504-212d9a573f80 (file https://datasets.cellxgene.cziscience.com/17f8fb18-a666-4882-b876-0a9aabc1a796.h5ad)
figure2,input/datasets/mouse_hippocampus.h5ad,no,2242537994,a11947a17724528a64d325d59912242108904af1aba8ee96d434ef60f7417b86,mouse hippocampus query dataset,https://cellxgene.cziscience.com/collections/d245b35b-3cc1-4f47-aed6-68dfdadebb5f (file https://datasets.cellxgene.cziscience.com/9940f1a7-5fc8-4e52-aba4-6dbba8c90303.h5ad)
figure2,PopV reference models,no,,,tissue reference models pulled at run time,https://huggingface.co/popV
figure3,input/reference/hector_label_harmonization.tsv,yes,40422,3cd9fb04e2c5fb00b57258a97ba0e76d438fef976d5d12a389f342599f244220,hand-curated label harmonization table,produced by the authors
figure3,input/reference/hgnc_complete_set.txt,yes,17030190,69944fdcacd7caca29f562796c4830f060e2cc6efc7df443670ebda1db7442d8,gene symbol reference; pinned to the published version,https://ftp.ebi.ac.uk/pub/databases/genenames/hgnc/tsv/hgnc_complete_set.txt
